,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,valuation,funding,investors
26,Devoted Health,$13B,2018-10-16,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",13000000000,2000000000,"['Andreessen Horowitz', ' F-Prime Capital', ' Venrock']"
27,OpenSea,$13B,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",13000000000,427000000,"['Andreessen Horowitz', ' Thirty Five Ventures', ' Sound Ventures']"
28,Grammarly,$13B,2019-10-10,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",13000000000,400000000,"['General Catalyst', ' Institutional Venture Partners', ' Breyer Capital']"
29,Argo AI,$12B,2019-07-12,Artificial Intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",12000000000,4000000000,"['Volkswagen Group', ' Ford Autonomous Vehicles']"
30,Northvolt,$12B,2019-06-12,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs",12000000000,4000000000,"['Vattenfall', ' Volkswagen Group', ' Goldman Sachs']"
31,Faire,$12B,2019-10-30,Artificial Intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",12000000000,1000000000,"['Khosla Ventures', ' Forerunner Ventures', ' Sequoia Capital']"
32,Airtable,$12B,2018-11-15,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",12000000000,1000000000,"['Caffeinated Capital', ' CRV', ' Founder Collective']"
33,Brex,$12B,2018-10-05,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",12000000000,1000000000,"['DST Global', ' Ribbit Capital', ' Greenoaks Capital Management']"
34,Getir,$12B,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital",12000000000,2000000000,"['Tiger Global Management', ' Sequoia Capital', ' Revo Capital']"
35,Biosplice Therapeutics,$12B,2018-08-06,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",12000000000,799000000,"['Vickers Venture Partners', ' IKEA GreenTech']"
36,Bitmain,$12B,2018-07-06,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital",12000000000,765000000,"['Coatue Management', ' Sequoia Capital China', ' IDG Capital']"
37,GoodLeap,$12B,2021-10-13,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",12000000000,800000000,"['New Enterprise Associates', ' BDT Capital Partners', ' Davidson Kempner Capital Management']"
38,Xingsheng Selected,$12B,2020-07-22,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China",12000000000,5000000000,"['KKR', ' Tencent Holdings', ' Sequoia Capital China']"
39,ZongMu Technology,$11B,2021-06-03,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures",11000000000,376000000,"['LTW Capital', ' Legend Capital', ' Qualcomm Ventures']"
40,Bolt,$11B,2018-05-29,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments",11000000000,1000000000,"['Didi Chuxing', ' Diamler', ' TMT Investments']"
41,Swiggy,$11B,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners",11000000000,5000000000,"['Accel India', ' SAIF Partners', ' Norwest Venture Partners']"
42,Weilong Foods,$11B,2021-05-08,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",11000000000,558000000,"['Tencent Holdings', ' Hillhouse Capital Management', ' Yunfeng Capital']"
43,Global Switch,$11B,2016-12-22,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",11000000000,5000000000,"['Aviation Industry Corporation of China', ' Essence Financial', ' Jiangsu Sha Steel Group']"
44,Bolt,$11B,2021-10-08,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic",11000000000,1000000000,"['Activant Capital', ' Tribe Capital', ' General Atlantic']"
45,Celonis,$11B,2018-06-26,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North",11000000000,1000000000,"['Accel', ' 83North']"
46,Zuoyebang,$10B,2018-07-18,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital",10000000000,3000000000,"['Sequoia Capital China', ' Xiang He Capital', ' GGV Capital']"
47,Ripple,$10B,2019-12-20,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",10000000000,294000000,"['IDG Capital', ' Venture51', ' Lightspeed Venture Partners']"
48,OYO Rooms,$10B,2018-09-25,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",10000000000,3000000000,"['SoftBank Group', ' Sequoia Capital India', 'Lightspeed India Partners']"
49,OutSystems,$10B,2018-06-05,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",10000000000,572000000,"['KKR', ' ES Ventures', ' North Bridge Growth Equity']"
50,ServiceTitan,$10B,2018-11-14,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",10000000000,1000000000,"['Bessemer Venture Partners', ' ICONIQ Capital', ' Battery Ventures']"
51,Alchemy,$10B,2021-10-28,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",10000000000,564000000,"['DFJ Growth Fund', ' Coatue Management', ' Addition']"
52,Chehaoduo,$10B,2016-03-12,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital",10000000000,4000000000,"['Sequoia Capital China', ' GX Capital']"
53,Digital Currency Group,$10B,2021-11-01,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",10000000000,1000000000,"['Ribbit Capital', ' capitalG', ' Softbank Group']"
54,Figma,$10B,2020-04-30,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",10000000000,333000000,"['Index Ventures', ' Greylock Partners', ' Kleiner Perkins Caufield & Byers']"
55,Gusto,$10B,2015-12-18,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",10000000000,691000000,"['General Catalyst Partners', ' Google Ventures', ' Kleiner Perkins Caufield & Byers']"
56,Lalamove,$10B,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",10000000000,2000000000,"['MindWorks Ventures', ' Shunwei Capital Partners', ' Xiang He Capital']"
57,Notion Labs,$10B,2020-04-01,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",10000000000,343000000,"['Index Ventures', ' Draft Ventures', ' Felicis Ventures']"
58,reddit,$10B,2017-07-31,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",10000000000,1000000000,"['Y Combinator', ' Sequoia Capital', ' Coatue Management']"
59,Talkdesk,$10B,2018-10-03,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",10000000000,497000000,"['DJF', ' Salesforce Ventures', ' Storm Ventures']"
60,Thrasio,$10B,2020-07-15,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",10000000000,2000000000,"['Upper90', ' RiverPark Ventures', ' Advent International']"
61,Dunamu,$9B,2021-07-22,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",9000000000,71000000,"['Qualcomm Ventures', ' Woori Investment', ' Hanwha Investment & Securities']"
62,Yanolja,$9B,2019-06-10,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC",9000000000,2000000000,"['SBI Investment Korea', ' Partners Investment', ' GIC']"
63,Pony.ai,$9B,2018-07-11,Artificial Intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",9000000000,1000000000,"['Sequoia Capital China', ' IDG Capital', ' DCM Ventures']"
64,Nuro,$9B,2019-02-11,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",9000000000,2000000000,"['SoftBank Group', ' Greylock Partners', ' Gaorong Capital']"
65,Snyk,$9B,2020-01-21,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",9000000000,1000000000,"['BOLDstart Ventures', ' Google Ventures', ' Accel']"
66,Kavak,$9B,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca",9000000000,2000000000,"['DST Global', ' SoftBank Group', ' Mountain Nazca']"
67,N26,$9B,2019-01-10,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",9000000000,2000000000,"['Redalpine Venture Partners', ' Earlybird Venture Capital', ' Valar Ventures']"
68,Klaviyo,$9B,2020-11-17,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",9000000000,679000000,"['Summit Partners', ' Accel', ' Astral Capital']"
69,Niantic,$9B,2017-11-24,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",9000000000,770000000,"['Nintendo', ' Google', ' Pokemon Company International', ' Spark Capital']"
70,Tanium,$9B,2015-03-31,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",9000000000,775000000,"['Andreessen Horowitz', ' Nor-Cal Invest', ' TPG Growth']"
71,Dream11,$8B,2019-04-09,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital",8000000000,2000000000,"['Kaalari Capital', ' Tencent Holdings', ' Steadview Capital']"
72,DJI Innovations,$8B,2015-01-23,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital",8000000000,105000000,"['Accel Partners', ' Sequoia Capital']"
73,Netskope,$8B,2018-11-13,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",8000000000,1000000000,"['Lightspeed Venture Partners', ' Social Capital', ' Accel']"
74,Razorpay,$8B,2020-10-11,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",8000000000,742000000,"['Sequoia Capital India', ' Tiger Global Management', ' Matrix Partners India']"
75,Dapper Labs,$8B,2021-03-30,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz",8000000000,607000000,"['Union Square Ventures', ' Venrock', ' Andreessen Horowitz']"
76,Lacework,$8B,2021-01-07,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",8000000000,2000000000,"['Sutter Hill Ventures', ' Liberty Global Ventures', ' Coatue Management']"
77,Tipalti,$8B,2020-10-06,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",8000000000,549000000,"['01 Advisors', ' Zeev Ventures', ' Group 11']"
78,Hopin,$8B,2020-11-10,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners",8000000000,1000000000,"['Accel', ' Northzone Ventures', ' Institutional Venture Partners']"
79,Caris Life Sciences,$8B,2021-05-12,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",8000000000,1000000000,"['Sixth Street Partners', ' OrbiMed Advisors', ' Highland Capital Management']"
80,Ramp,$8B,2021-03-29,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",8000000000,660000000,"['D1 Capital Partners', ' Stripe', ' Coatue Management']"
81,Tempus,$8B,2018-03-21,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",8000000000,820000000,"['New Enterprise Associates', ' T. Rowe Associates', ' Lightbank']"
82,Fireblocks,$8B,2021-07-27,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",8000000000,1000000000,"['Tenaya Capital', ' Coatue Management', ' Stripes Group']"
83,Flexport,$8B,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",8000000000,2000000000,"['Bloomberg Beta', ' Founders Fund', ' First Round Capital']"
84,National Stock Exchange of India,$7B,2020-07-01,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth",7000000000,297000000,"['TA Associates', ' SoftBank Group', ' GS Growth']"
85,Meicai,$7B,2016-06-22,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund",7000000000,1000000000,"['Tiger Global Management', ' Blue Lake Capital', ' ZhenFund']"
86,Impossible Foods,$7B,2019-05-13,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",7000000000,2000000000,"['Khosla Ventures', ' Horizons Ventures', ' Temasek Holdings']"
87,CRED,$7B,2021-04-06,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India",7000000000,922000000,"['Tiger Global Management', ' DST Global', ' Sequoia Capital India']"
88,Attentive,$7B,2020-09-23,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",7000000000,863000000,"['NextView Ventures', ' Eniac Ventures', ' Sequoia Capital']"
89,Ola Cabs,$7B,2014-10-27,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital",7000000000,4000000000,"['Accel Partners', ' SoftBank Group', ' Sequoia Capital']"
90,Rippling,$7B,2020-08-04,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",7000000000,447000000,"['Initialized Capital', ' Y Combinator', ' Kleiner Perkins Caufield & Byers']"
91,Carta,$7B,2019-05-06,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",7000000000,1000000000,"['Menlo Ventures', ' Spark Capital', ' Union Square Ventures']"
92,Toss,$7B,2018-12-09,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",7000000000,844000000,"['Bessemer Venture Partners', ' Qualcomm Ventures', ' Kleiner Perkins Caufield & Byers']"
93,Ziroom,$7B,2018-01-17,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst",7000000000,2000000000,"['Sequoia Capital China', ' Warburg Pincus', ' General Catalyst']"
94,Scale AI,$7B,2019-08-05,Artificial Intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",7000000000,603000000,"['Accel', ' Y Combinator', ' Index Ventures']"
95,Gong,$7B,2020-08-12,Artificial Intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",7000000000,583000000,"['Norwest Venture Partners', ' Next World Capital', ' Wing Venture Capital']"
96,TripActions,$7B,2018-11-08,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",7000000000,912000000,"['Andreessen Horowitz', ' Lightspeed Venture Partners', ' Zeev Ventures']"
97,1Password,$7B,2021-07-08,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital",7000000000,920000000,"['Slack Fund', ' Accel', ' Skip Capital']"
98,Automation Anywhere,$7B,2018-07-02,Artificial Intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",7000000000,849000000,"['General Atlantic', ' Goldman Sachs', ' New Enterprise Associates']"
99,Gemini,$7B,2021-11-19,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",7000000000,424000000,"['Morgan Creek Digital', ' Marcy Venture Partners', ' 10T Fund']"
100,ConsenSys,$7B,2021-11-17,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",7000000000,660000000,"['Third Point', ' Electric Capital', ' Coinbase Ventures']"
101,Ro,$7B,2020-07-27,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",7000000000,1000000000,"['Initialized Capital', ' General Catalyst', ' SignalFire']"
102,Black Unicorn Factory,$6B,2021-05-20,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,6000000000,645000000,['Barter Ventures']
103,Easyhome,$6B,2018-02-12,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital",6000000000,2000000000,"['Alibaba Group', ' Boyu Capital', ' Borui Capital']"
104,WeDoctor,$6B,2015-09-22,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group",6000000000,1000000000,"['Tencent', ' Morningside Group']"
105,SVOLT,$6B,2020-06-08,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",6000000000,3000000000,"['IDG Capital', ' Bank Of China Group Investment', '', ' SDIC CMC Investment Management']"
106,Airwallex,$6B,2019-03-25,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings",6000000000,802000000,"['DST Global', ' Sequoia Capital China', ' Tencent Holdings']"
107,Deel,$6B,2021-04-21,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",6000000000,629000000,"['Andreessen Horowitz', ' Spark Capital', ' Y Combinator']"
108,Mambu,$6B,2021-01-06,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital",6000000000,448000000,"['Runa Capital', ' Acton Capital Partners', ' Point Nine Capital']"
109,Mollie,$6B,2020-09-08,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,6000000000,928000000,['Technology Crossover Ventures']
110,Doctolib,$6B,2019-03-19,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel",6000000000,815000000,"['BPI France', ' Kerala Ventures', ' Accel']"
111,FiveTran,$6B,2020-06-30,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",6000000000,728000000,"['Matrix Partners', ' Andreessen Horowitz', ' General Catalyst']"
112,Postman,$6B,2020-06-11,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",6000000000,433000000,"['Nexus Venture Partners', ' CRV', ' Insight Partners']"
113,Back Market,$6B,2021-05-18,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni",6000000000,1000000000,"['Aglae Ventures', ' Eurazeo', ' Daphni']"
114,Cityblock Health,$6B,2020-12-10,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",6000000000,891000000,"['Thrive Capital', ' Maverick Ventures', ' Redpoint Ventures']"
115,DataRobot,$6B,2019-07-29,Artificial Intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",6000000000,1000000000,"['New Enterprise Associates', ' Accomplice', ' IA Ventures']"
116,Personio,$6B,2021-01-19,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital",6000000000,524000000,"['Global Founders Capital', ' Nortzone Ventures', ' Picus Capital']"
117,RELEX Solutions,$6B,2022-02-17,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners",6000000000,803000000,"['Blackstone', ' Technology Crossover Ventures', ' Summit Partners']"
118,Vice Media,$6B,2011-04-02,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",6000000000,1000000000,"['Technology Crossover Ventures', ' A&E Television Networks']"
119,Workato,$6B,2021-01-12,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures",6000000000,415000000,"['Battery Ventures', ' Storm Ventures', ' Redpoint Ventures']"
120,Upgrade,$6B,2018-02-12,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",6000000000,587000000,"['Union Square Ventures', ' Ribbit Capital', ' VY Capital']"
121,Lianjia,$6B,2016-04-07,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital",6000000000,1000000000,"['Tencent', ' Baidu', ' Huasheng Capital']"
